
=== freq of words of size 1 ===

xb; 0.000210
zs; 0.000210
cn; 0.000157
cz; 0.000157
dq; 0.000157
fq; 0.000157
gd; 0.000157
hp; 0.000157
km; 0.000157
mj; 0.000157
pd; 0.000157
vq; 0.000157
vt; 0.000157
wh; 0.000157
wn; 0.000157
wo; 0.000157
yu; 0.000157
bc; 0.000105
db; 0.000105
fj; 0.000105
ft; 0.000105
gw; 0.000105
jh; 0.000105
kr; 0.000105
kz; 0.000105
lk; 0.000105
lw; 0.000105
pv; 0.000105
qb; 0.000105
qc; 0.000105
tw; 0.000105
uk; 0.000105
vg; 0.000105
vj; 0.000105
vv; 0.000105
wt; 0.000105
xg; 0.000105
yq; 0.000105
zr; 0.000105
bf; 0.000052
cf; 0.000052
df; 0.000052
dw; 0.000052
dx; 0.000052
fn; 0.000052
fv; 0.000052
fx; 0.000052
gj; 0.000052
gp; 0.000052
gv; 0.000052
hj; 0.000052
iy; 0.000052
jn; 0.000052
kn; 0.000052
lx; 0.000052
mc; 0.000052
md; 0.000052
mq; 0.000052
mv; 0.000052
mz; 0.000052
nw; 0.000052
pb; 0.000052
pg; 0.000052
pq; 0.000052
qa; 0.000052
qj; 0.000052
qm; 0.000052
rw; 0.000052
tk; 0.000052
vn; 0.000052
vs; 0.000052
ws; 0.000052
yh; 0.000052
yj; 0.000052
yw; 0.000052
yz; 0.000052
zb; 0.000052
zp; 0.000052

=== freq of words of size 3 ===

ait; 1.641976
ent; 1.273976
que; 0.953906
les; 0.814754
lle; 0.774927
ant; 0.684607
tai; 0.623308
our; 0.594771
tre; 0.571983
res; 0.567620
eta; 0.518858
ans; 0.510408
des; 0.507845
est; 0.497524
men; 0.497040
ien; 0.491706
une; 0.488035
eme; 0.485265
eur; 0.478338
ais; 0.475152
ous; 0.471204
vai; 0.469126
qui; 0.452434
dan; 0.452226
mme; 0.438927
par; 0.435117
tte; 0.433317
tou; 0.427152
ell; 0.422304
che; 0.411914
ava; 0.409767
omm; 0.399516
out; 0.390511
ill; 0.384347
ier; 0.380607
son; 0.374719
ere; 0.360035
sse; 0.357195
pas; 0.354563
ire; 0.349438
ett; 0.348468
ion; 0.322563
ces; 0.322078
ons; 0.321316
ont; 0.320000
cha; 0.318961
mai; 0.316814
nte; 0.310996
com; 0.309957
eux; 0.307948
pou; 0.305386
pre; 0.301091
rai; 0.297005
con; 0.290286
cet; 0.290217
sai; 0.279065
ave; 0.276018
ain; 0.275671
ine; 0.265282
ite; 0.263827
lai; 0.262927
ver; 0.251637
ort; 0.250944
ble; 0.247966
ure; 0.247966
rie; 0.246788
onn; 0.246442
fai; 0.244433
sur; 0.244295
vou; 0.243117
ran; 0.240693
tio; 0.239793
ete; 0.239100
tes; 0.238546
aie; 0.237161
ieu; 0.235013
ter; 0.233974
ard; 0.233420
lui; 0.220122
uel; 0.219498
end; 0.218667
and; 0.217767
uil; 0.216866
cou; 0.214580
ouv; 0.212225
mon; 0.211602
ass; 0.209386
air; 0.209039
int; 0.208901
ven; 0.208762
ute; 0.207446
nne; 0.206615
per; 0.206546
ren; 0.206407
aut; 0.205576
ois; 0.203706
ssa; 0.203567
oir; 0.200935
plu; 0.200520
ses; 0.199342
iss; 0.198788
nce; 0.197195
mar; 0.193801
voi; 0.193316
ten; 0.191031
dit; 0.189715
anc; 0.187498
lus; 0.186736
deu; 0.184450
sou; 0.183204
jea; 0.181264
tra; 0.180710
ean; 0.180502
enc; 0.177316
eve; 0.174407
ser; 0.172676
ati; 0.172329
nai; 0.170528
ond; 0.169074
ena; 0.168243
ntr; 0.167481
ose; 0.166095
etr; 0.165264
ari; 0.164987
urs; 0.164225
ste; 0.164156
rte; 0.162771
san; 0.162702
ess; 0.161316
pro; 0.161108
uis; 0.159654
ers; 0.158753
rre; 0.155775
uui; 0.152727
ins; 0.152589
eau; 0.151342
roi; 0.150719
tro; 0.149680
err; 0.147256
hom; 0.146078
qua; 0.146078
vie; 0.146009
ise; 0.145178
rou; 0.144347
arr; 0.143377
jou; 0.143377
pri; 0.143031
ela; 0.142615
nde; 0.142615
sen; 0.142407
nou; 0.141299
uve; 0.141091
leu; 0.139567
rem; 0.139290
mes; 0.137628
ssi; 0.135896
rit; 0.134719
lan; 0.134165
ret; 0.133957
vec; 0.133749
era; 0.133126
all; 0.132364
oin; 0.132087
eil; 0.131810
ues; 0.131256
dun; 0.130771
ris; 0.130217
tan; 0.130147
bou; 0.129940
app; 0.129870
age; 0.129593
isa; 0.128762
ens; 0.128069
len; 0.127515
nts; 0.127515
abl; 0.127169
bre; 0.124953
lon; 0.124883
ele; 0.124745
sie; 0.124606
lea; 0.124329
don; 0.123706
ert; 0.123637
rep; 0.123567
ang; 0.123290
eut; 0.123290
ide; 0.123152
dre; 0.122390
peu; 0.122113
iqu; 0.121697
nes; 0.121628
aux; 0.121559
cel; 0.121420
set; 0.120104
gra; 0.119758
tit; 0.119758
ule; 0.119204
man; 0.118857
emp; 0.117541
rri; 0.117403
dis; 0.117126
eri; 0.116641
lee; 0.115671
art; 0.114355
oit; 0.113593
lla; 0.113108
sem; 0.113039
ail; 0.112416
lie; 0.110961
eti; 0.109853
pen; 0.109368
ist; 0.109160
eva; 0.108606
nge; 0.108398
nti; 0.108329
squ; 0.107844
lem; 0.107498
uit; 0.107359
dem; 0.106944
omb; 0.106875
por; 0.106875
mem; 0.106459
ole; 0.105004
tem; 0.104935
val; 0.104450
